id,event,path,lineno,caller_path,caller_lineno,owner_with_name,hierarchy
25,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,121,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,955,ActiveRecord::ConnectionAdapters::ConnectionSpecification::Resolver#initialize,2
26,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,123,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,955,ActiveRecord::ConnectionAdapters::ConnectionSpecification::Resolver#initialize,2
27,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,181,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,956,ActiveRecord::ConnectionAdapters::ConnectionSpecification::Resolver#spec,2
28,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,141,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,182,ActiveRecord::ConnectionAdapters::ConnectionSpecification::Resolver#resolve,3
29,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,238,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,143,ActiveRecord::ConnectionAdapters::ConnectionSpecification::Resolver#resolve_connection,4
30,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,268,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,245,ActiveRecord::ConnectionAdapters::ConnectionSpecification::Resolver#resolve_hash_connection,5
31,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,274,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,245,ActiveRecord::ConnectionAdapters::ConnectionSpecification::Resolver#resolve_hash_connection,5
32,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,247,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,143,ActiveRecord::ConnectionAdapters::ConnectionSpecification::Resolver#resolve_connection,4
33,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,149,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,182,ActiveRecord::ConnectionAdapters::ConnectionSpecification::Resolver#resolve,3
34,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/core_ext/hash/keys.rb,56,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,182,Hash#symbolize_keys,3
