id,event,path,lineno,caller_path,caller_lineno,owner_with_name,hierarchy
179,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,96,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,98,ActiveRecord::ConnectionHandling.connection_specification_name,17
180,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,101,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,98,ActiveRecord::ConnectionHandling.connection_specification_name,17
181,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,98,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,98,ActiveRecord::ConnectionHandling.connection_specification_name,17
182,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,98,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,118,ActiveRecord::ConnectionHandling.connection_specification_name,15
183,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1011,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,118,ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection,15
184,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1039,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1012,ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool,16
185,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1058,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1040,ActiveRecord::ConnectionAdapters::ConnectionHandler#owner_to_pool,17
186,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1060,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1040,ActiveRecord::ConnectionAdapters::ConnectionHandler#owner_to_pool,17
187,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1054,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1012,ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool,16
188,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,381,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1014,ActiveRecord::ConnectionAdapters::ConnectionPool#connection,16
